DB And Cache	DB													DB And Cache	DB													DB And Cache	DB
119	1141													471.8	1283.6													562.3333333	1308.333333
759	1373													748.6	1874													717.3333333	2274
818	1236													1247.6	2967.6													1572.666667	3078.5
333	1431													1436.6	3061.4													1695.166667	3282.166667
330	1237													1990.8	3435.4													1605.666667	3506.666667
1015	1432													1488.4	3517.6													1714.833333	3344.5
126	1375													1598	3325.6													1756.166667	3487.166667
797	1171													1943.4	3436.2													1761.333333	3583.333333
1356	2636													1629.8	3549													908.5	1322.5
449	2756													1457.2	3605.2													1476.666667	344.3333333
1080	2756													1033	214.4													1935.166667	2395.333333
496	2950													1479.6	367.8													1282.666667	3439.166667
1576	2966													1924.2	2286.4													1506.833333	4024.666667
1639	3042													1657.6	3251													1439.333333	4272.5
1447	3124													1107.6	3852													1521.333333	4786.5
1759	3175													1483.4	4081													1429.666667	4699.666667
1797	3030													1451.6	4338													1187.5	2967.666667
1218	3134													1598	4893.4													495.1666667	380
708	3009													1491	4806.4													1166.833333	1561.5
1701	2959													1542	4308.4													1375.666667	2432.333333
1725	3261													343.6	269													1428.666667	2793
1879	3649													699	417.2													1635.5	2980
2197	3306													1440.8	2202.4													1533.333333	3122.666667
1961	3509													1269.4	2446													1592.5	2986.166667
2192	3452													1427	2785.2													1543.666667	3032.166667
843	3375													1570.4	2985.4													401.6666667	189
1275	3447													1592	3049.8													1077.166667	1134
2109	3277													1568.8	3111													1549.833333	1371.166667
1975	3917													1525.4	2963.8													2184.166667	1302
1240	3572													1596.8	3001.6													2120	1180.666667
2196	3793													352.6	163.8													1930.166667	1189.5
564	3006													934.4	722.8													1878.166667	1286.166667
1017	3068													1336.4	1676.2													2012	1609.166667
2265	3531													1800.6	1217.4													992	464
1948	3230													2268.8	1088.4													779.6666667	306
2299	3439													2106.6	1343.6													1074.833333	652.1666667
1122	3437													1976.8	1119.2													1560.666667	1402.333333
2196	3627													1851.6	1343.8													1860.833333	1314.666667
2081	3232													1912	1599.6													1870.5	1107.166667
2019	3446													2215.6	1316.6													1534	1135.5
1303	3741													296.4	110.2													1730.833333	1179.166667
1816	3440													858	336.4													1222.666667	994.8333333
2053	3634													1079.2	609.6													533.5	548.6666667
780	3625													1419.2	1261.2													1005.166667	870.1666667
2197	3305													1651.2	1371.8													1130.166667	1171.5
1915	3601													2027.2	1335													1672.666667	1260.166667
2275	3594													1738.8	1029.4													1564.833333	1335.5
1348	3741													1565.4	1127.2													1536.5	1274.166667
367	3808													1682.4	1076													1245.5	1379
1381	3282													1783.8	1423.2													1245.166667	1109.666667
299	190													300.2	359													330.3333333	156
616	191													785.8	706.4													644.8333333	460.6666667
1235	197													1075.4	948													1073	511.8333333
1553	267													1119.2	1204.6													1457	1027.5
1462	227													1701.2	1235.2													1934.833333	1523
1147	377													1694.2	1381.2													2524	1601.166667
1216	195													1378.4	1225.8													2572	1602.166667
1688	538													1517	1299													2604.166667	1482.833333
2057	291													1176.4	1383.2													1111.333333	596.5
1290	438													1250.4	1105.8													529.5	397.1666667
1515	270													297.4	127.6													1408.833333	860.3333333
1990	2710													607.2	367.6													1777.666667	1062
2046	2750													876.8	631.8													2382.666667	1389.833333
1894	2828													1188.8	471.4													3027.666667	1121.5
2176	2874													1596.2	1274.8													3259.166667	1382.333333
1990	2940													1961.6	1541.6													2767.5	1471
1830	3125													2491	1538.8													2474.5	1460.5
976	2972													2737.2	1657														
2097	3563													2432.6	1510.2														
1395	3655													2586.6	1564.2														
561	3646													381.8	116.8														
837	3674													580	428.8														
1893	3878													1448.8	831.8														
1180	3992													1608.2	969.2														
1067	4070													2146.8	1362.8														
1890	3873													2358.2	1294.8														
1413	4078													3465	1188.8														
1598	4257													3200.2	1331.8														
304	4291													2636	1441.6														
2212	3906													2664.6	1492														
1271	4265																												
1878	3838																												
1349	4735																												
1622	4600																												
1138	4252																												
1521	4917																												
1658	4965																												
2177	4878																												
1323	4885																												
1311	4822																												
2095	4998																												
933	4869																												
1101	4848																												
1888	4561																												
1438	4756																												
1123	4166																												
1243	4844																												
1377	3961																												
1982	4741																												
1985	3830																												
167	131																												
371	299																												
420	139																												
388	527																												
372	249																												
513	305																												
547	501																												
731	559																												
827	241																												
877	480																												
950	2070																												
1391	2114																												
1860	2205																												
1096	2259																												
1907	2364																												
1099	2386																												
1199	2382																												
1793	2383																												
1074	2482																												
1182	2597																												
1212	2700																												
1749	2717																												
1943	2757																												
1094	2851																												
1137	2901																												
1437	2832																												
1571	3021																												
1236	3047																												
1923	3075																												
1685	2952																												
1721	3013																												
1677	2772																												
994	3185																												
1881	3230																												
1687	3049																												
1388	2950																												
1585	3339																												
1665	2983																												
1810	3206																												
1396	3077																												
1739	2789																												
918	3237																												
1909	2729																												
1783	2879																												
1278	3185																												
1644	2916																												
1833	3077																												
1166	2949																												
1480	2989																												
1861	3077																												
223	88																												
242	87																												
350	119																												
386	240																												
562	285																												
647	315																												
813	251																												
995	401																												
1099	1196																												
1118	1451																												
1202	1724																												
1236	1781																												
1307	1304																												
1375	1759																												
1562	1813																												
1617	235																												
1641	1274																												
1797	1842																												
1662	875																												
2286	1861																												
2440	1912																												
2282	126																												
2400	1901																												
2035	1137																												
2187	366																												
2001	1643																												
2149	623																												
2194	1790																												
2480	1831																												
1709	831																												
2008	1090																												
1741	575																												
2400	1046																												
1996	1941																												
1739	944																												
1697	1541																												
2056	700																												
1815	952																												
1932	1673																												
1758	1853																												
1826	896																												
1882	1643																												
2129	1698																												
1879	1940																												
1844	1821																												
1779	868																												
2486	1546																												
1955	1782																												
2458	1152																												
2400	1235																												
115	43																												
289	105																												
299	145																												
391	104																												
388	154																												
743	314																												
823	364																												
868	106																												
894	491																												
962	407																												
1018	586																												
998	298																												
1131	691																												
1181	725																												
1068	748																												
1053	865																												
1506	1256																												
1255	1643																												
1589	1607																												
1693	935																												
1761	1651																												
1560	1322																												
1611	1102																												
1352	1160																												
1972	1624																												
2041	1436																												
2151	1553																												
2038	1013																												
2041	1471																												
1865	1202																												
1799	898																												
1967	1538																												
1825	520																												
1726	1014																												
1377	1177																												
1967	1575																												
1523	1068																												
2075	1389																												
1103	639																												
1159	965																												
1843	456																												
1427	1086																												
2148	1095																												
1779	1579																												
1215	1164																												
1973	1695																												
1746	982																												
1674	1263																												
2085	1498																												
1441	1678																												
95	228																												
295	320																												
415	320																												
349	331																												
347	596																												
618	624																												
680	695																												
792	726																												
905	653																												
934	834																												
1007	813																												
1069	937																												
1107	1001																												
1009	983																												
1185	1006																												
1174	1166																												
1185	1069																												
998	1195																												
995	1386																												
1244	1207																												
1588	1518																												
1809	1016																												
1757	1530																												
1414	1136																												
1938	976																												
1530	1385																												
1724	1478																												
1834	1287																												
1760	1469																												
1623	1287																												
1081	1398																												
1367	1094																												
1129	1442																												
1617	967																												
1698	1228																												
1442	1355																												
1673	1301																												
1660	1352																												
1531	1219																												
1279	1268																												
1295	1420																												
1184	1506																												
1013	1546																												
1171	1315																												
1219	1129																												
1324	1101																												
1387	1451																												
1257	865																												
1189	1158																												
1095	954																												
85	75																												
159	111																												
299	75																												
430	159																												
514	218																												
495	298																												
499	338																												
668	385																												
637	380																												
737	437																												
573	591																												
755	633																												
921	476																												
1032	748																												
1103	711																												
957	875																												
1172	127																												
1253	134																												
1281	1019																												
1281	202																												
1474	1141																												
1575	1086																												
1706	1286																												
1425	1431																												
1801	1430																												
1914	1217																												
1840	1643																												
2024	1484																												
2073	1756																												
1957	1608																												
2100	1766																												
2357	1503																												
2356	1564																												
2769	1722																												
2873	1139																												
2689	1913																												
2756	1843																												
2632	1531																												
2953	1198																												
2656	1800																												
2216	1671																												
2219	1570																												
2654	1747																												
2821	782																												
2253	1781																												
2632	1505																												
2633	1910																												
2632	1172																												
2404	1682																												
2632	1552																												
228	16																												
487	16																												
260	100																												
657	213																												
277	239																												
544	347																												
475	413																												
94	443																												
1154	315																												
633	626																												
1282	673																												
1447	756																												
1455	837																												
1556	986																												
1504	907																												
1209	1003																												
1819	1037																												
1687	846																												
1135	1238																												
2191	722																												
2170	931																												
1664	1598																												
2755	1483																												
2115	1184																												
2030	1618																												
2045	1473																												
2276	1064																												
3075	1517																												
2013	1149																												
2382	1271																												
3574	264																												
3421	1219																												
3515	1260																												
3261	1566																												
3554	1635																												
3608	1427																												
3342	1353																												
3173	1543																												
2365	1457																												
3513	879																												
2728	1652																												
1733	1159																												
2030	1101																												
3342	1678																												
3347	1618																												
3425	1618																												
579	1536																												
3344	1396																												
2893	1410																												
3082	1500																												
